106469,"UA/10792/01/01","package/68484","2015-08-04","2115-08-04"
106454,"UA/15603/01/01","package/68474","2021-02-03","2121-02-03"
106451,"UA/13920/01/02","package/68472","2019-08-21","2119-08-21"
106450,"UA/13920/01/02","package/68471","2019-08-21","2119-08-21"
106444,"UA/5808/01/01","package/68466","2021-05-25","2121-05-25"
106439,"UA/13920/01/02","package/68462","2019-08-21","2119-08-21"
106438,"UA/13920/01/02","package/68461","2019-08-21","2119-08-21"
106437,"UA/13920/01/02","package/68460","2019-08-21","2119-08-21"
106436,"UA/13920/01/02","product/37536","2019-08-21","2119-08-21"
106420,"UA/3541/01/02","package/68447","2017-06-30","2117-06-30"
106419,"UA/3541/01/02","package/68446","2017-06-30","2117-06-30"
106412,"UA/12922/01/01","package/68440","2018-08-16","2118-08-16"
106411,"UA/12922/01/01","package/68439","2018-08-16","2118-08-16"
106396,"UA/17056/01/01","package/68427","2023-11-17","2123-11-17"
106394,"UA/17021/01/01","package/68425","2023-01-14","2123-01-14"
106381,"UA/5394/01/01","package/68418","2016-09-15","2116-09-15"
106380,"UA/5394/01/01","package/68417","2016-09-15","2116-09-15"
106375,"UA/12314/01/01","package/68414","2017-04-27","2117-04-27"
106371,"UA/4900/01/01","package/68411","2021-04-13","2121-04-13"
106370,"UA/4900/01/01","package/68410","2021-04-13","2121-04-13"
106369,"UA/4900/01/01","package/68409","2021-04-13","2121-04-13"
106368,"UA/4900/01/01","package/68408","2021-04-13","2121-04-13"
106367,"UA/4900/01/01","package/68407","2021-04-13","2121-04-13"
106366,"UA/4900/01/01","package/68406","2021-04-13","2121-04-13"
106365,"UA/4900/01/01","package/68405","2021-04-13","2121-04-13"
106340,"UA/0845/01/01","package/68381","2018-11-30","2118-11-30"
106339,"UA/0845/01/01","product/37518","2018-11-30","2118-11-30"
106297,"UA/15071/01/01","package/68345","2021-03-11","2121-03-11"
106296,"UA/15071/01/01","product/37511","2021-03-11","2121-03-11"
106293,"UA/16740/01/01","package/68343","2016-05-30","2116-05-30"
106282,"UA/11810/01/01","package/68337","2016-05-04","2116-05-04"
106250,"UA/14891/01/01","package/68315","2020-09-09","2120-09-09"
106249,"UA/14891/01/01","package/68314","2020-09-09","2120-09-09"
106248,"UA/14891/01/01","product/37494","2020-09-09","2120-09-09"
106239,"UA/15838/01/01","package/68308","2017-03-02","2026-03-02"
106235,"UA/14892/01/01","package/68305","2020-09-09","2120-09-09"
106234,"UA/14892/01/01","package/68304","2020-09-09","2120-09-09"
106233,"UA/14892/01/01","product/37489","2020-09-09","2120-09-09"
106230,"UA/20758/01/01","package/68302","2025-02-10","2030-02-10"
106227,"UA/11777/01/01","package/68300","2016-04-26","2116-04-26"
106224,"UA/18980/01/01","package/68298","2021-10-07","2026-10-07"
106220,"UA/14893/01/01","package/68295","2020-09-09","2120-09-09"
106219,"UA/14893/01/01","package/68294","2020-09-09","2120-09-09"
106218,"UA/14893/01/01","product/37484","2020-09-09","2120-09-09"
106211,"UA/6589/02/01","package/68289","2018-11-26","2118-11-26"
106210,"UA/6589/02/01","package/68288","2018-11-26","2118-11-26"
106200,"UA/2559/01/02","package/68280","2019-10-17","2119-10-17"
106199,"UA/2559/01/02","package/68279","2019-10-17","2119-10-17"
106198,"UA/2559/01/02","package/68278","2019-10-17","2119-10-17"
106197,"UA/2559/01/02","package/68277","2019-10-17","2119-10-17"
106196,"UA/2559/01/02","product/37479","2019-10-17","2119-10-17"
106195,"UA/15970/01/01","package/68276","2022-05-16","2122-05-16"
106194,"UA/15970/01/01","package/68275","2022-05-16","2122-05-16"
106193,"UA/15970/01/01","package/68274","2022-05-16","2122-05-16"
106192,"UA/15970/01/01","package/68273","2022-05-16","2122-05-16"
106182,"UA/1638/01/01","package/68265","2019-07-05","2119-07-05"
106181,"UA/1638/01/01","package/68264","2019-07-05","2119-07-05"
106180,"UA/1638/01/01","package/68263","2019-07-05","2119-07-05"
106174,"UA/2559/01/01","package/68258","2019-10-17","2119-10-17"
106173,"UA/2559/01/01","package/68257","2019-10-17","2119-10-17"
106172,"UA/2559/01/01","package/68256","2019-10-17","2119-10-17"
106171,"UA/2559/01/01","package/68255","2019-10-17","2119-10-17"
106170,"UA/2559/01/01","product/37475","2019-10-17","2119-10-17"
106164,"UA/12921/01/01","package/68250","2019-01-24","2119-01-24"
106163,"UA/12921/01/01","package/68249","2019-01-24","2119-01-24"
106147,"UA/17639/01/01","package/68237","2023-11-10","2123-11-10"
106143,"UA/14958/01/01","package/68233","2020-10-15","2120-10-15"
106142,"UA/14958/01/01","package/68232","2020-10-15","2120-10-15"
106141,"UA/14958/01/01","package/68231","2020-10-15","2120-10-15"
106140,"UA/14958/01/01","product/37469","2020-10-15","2120-10-15"
106137,"UA/19138/01/01","package/68229","2021-12-23","2026-12-23"
106124,"UA/17231/01/01","package/68220","2024-02-02","2124-02-02"
106123,"UA/17231/01/01","package/68219","2024-02-02","2124-02-02"
106122,"UA/17231/01/01","package/68218","2024-02-02","2124-02-02"
106104,"UA/20345/01/01","package/68203","2024-01-29","2029-01-29"
106103,"UA/20345/01/01","product/37460","2024-01-29","2029-01-29"
106089,"UA/10610/01/01","package/68195","2020-04-09","2120-04-09"
106084,"UA/3541/01/01","package/68191","2020-03-25","2120-03-25"
106083,"UA/3541/01/01","package/68190","2020-03-25","2120-03-25"
106069,"UA/6741/01/01","package/68179","2017-07-04","2117-07-04"
106058,"UA/19138/02/01","package/68172","2021-12-23","2026-12-23"
106052,"UA/2865/01/02","package/68168","2024-10-03","2124-10-03"
106051,"UA/2865/01/02","product/37443","2024-10-03","2124-10-03"
106050,"UA/2865/01/01","package/68167","2024-10-03","2124-10-03"
106049,"UA/2865/01/01","product/37442","2024-10-03","2124-10-03"
106032,"UA/16299/01/01","package/68157","2023-04-11","2123-04-11"
106025,"UA/19107/01/01","package/68153","2021-12-09","2026-12-09"
106024,"UA/19107/01/01","product/37431","2021-12-09","2026-12-09"
106021,"UA/16166/01/01","package/68151","2022-03-15","2122-03-15"
106017,"UA/14671/01/01","package/68148","2020-10-12","2120-10-12"
106009,"UA/6444/01/01","package/68142","2017-02-15","2117-02-15"
105984,"UA/18880/01/01","package/68124","2021-08-06","2026-08-06"
105981,"UA/13103/01/01","package/68122","2018-05-11","2118-05-11"
105974,"UA/5456/01/01","package/68118","2016-07-19","2116-07-19"
105961,"UA/19527/01/01","package/68110","2022-07-07","2027-07-07"
105958,"UA/9365/01/01","package/68108","2019-05-28","2119-05-28"
105934,"UA/17229/01/01","package/68095","2023-08-25","2123-08-25"
105933,"UA/17229/01/02","package/68094","2023-08-25","2123-08-25"
105907,"UA/8827/01/01","package/68077","2018-07-27","2118-07-27"
105906,"UA/8827/01/01","package/68076","2018-07-27","2118-07-27"
105905,"UA/8827/01/01","package/68075","2018-07-27","2118-07-27"
105904,"UA/8827/01/01","product/37389","2018-07-27","2118-07-27"
105893,"UA/10949/01/01","package/68068","2015-06-05","2115-06-05"
105892,"UA/8714/02/02","package/68067","2023-06-21","2123-06-21"
105888,"UA/19216/01/01","package/68064","2022-02-17","2027-02-17"
105881,"UA/6048/01/01","package/68059","2017-06-30","2117-06-30"
105873,"UA/14306/01/01","package/68053","2019-11-14","2119-11-14"
105865,"UA/10968/01/01","package/68047","2020-08-11","2120-08-11"
105864,"UA/10968/01/01","product/37377","2020-08-11","2120-08-11"
105863,"UA/8714/02/01","package/68046","2023-06-21","2123-06-21"
105854,"UA/10968/02/01","package/68040","2018-08-03","2118-08-03"
105853,"UA/10968/02/01","package/68039","2018-08-03","2118-08-03"
105852,"UA/10968/02/01","product/37373","2018-08-03","2118-08-03"
105834,"UA/16257/01/01","package/68027","2022-03-15","2122-03-15"
105831,"UA/11882/01/01","package/68025","2017-03-02","2117-03-02"
105826,"UA/6046/01/01","package/68022","2016-05-04","2116-05-04"
105821,"UA/8714/01/02","package/68019","2018-08-16","2118-08-16"
105820,"UA/16670/01/01","package/68018","2018-04-26","2026-04-26"
105812,"UA/17966/01/02","package/68013","2020-03-06","2026-03-06"
105799,"UA/17966/01/01","package/68004","2020-03-06","2026-03-06"
105792,"UA/12399/01/01","package/67999","2017-10-04","2117-10-04"
105791,"UA/18029/01/01","package/67998","2024-10-31","2124-10-31"
105790,"UA/18029/01/01","product/37352","2024-10-31","2124-10-31"
105788,"UA/8714/01/01","package/67996","2018-08-16","2118-08-16"
105776,"UA/16678/01/01","package/67988","2023-07-17","2123-07-17"
105771,"UA/15889/01/01","package/67985","2021-07-08","2121-07-08"
105770,"UA/16845/01/02","package/67984","2023-06-08","2123-06-08"
105769,"UA/16845/01/02","package/67983","2023-06-08","2123-06-08"
105768,"UA/16845/01/02","product/37345","2023-06-08","2123-06-08"
105765,"UA/16845/01/01","package/67981","2023-06-08","2123-06-08"
105764,"UA/16845/01/01","package/67980","2023-06-08","2123-06-08"
105763,"UA/16845/01/01","product/37343","2023-06-08","2123-06-08"
105757,"UA/14458/01/01","package/67975","2020-04-09","2120-04-09"
105754,"UA/20426/01/01","package/67973","2024-04-12","2029-04-12"
105751,"UA/20169/01/01","package/67971","2023-08-25","2028-08-25"
105729,"UA/5107/01/01","package/67958","2016-11-10","2116-11-10"
105715,"UA/15564/01/01","package/67949","2021-07-30","2121-07-30"
105714,"UA/17702/01/01","package/67948","2024-07-09","2124-07-09"
105713,"UA/17702/01/01","package/67947","2024-07-09","2124-07-09"
105712,"UA/17702/01/01","package/67946","2024-07-09","2124-07-09"
105711,"UA/17702/01/01","product/37325","2024-07-09","2124-07-09"
105706,"UA/18006/01/01","package/67943","2020-03-25","2026-03-25"
105704,"UA/19646/01/01","package/67941","2022-10-12","2025-10-12"
105703,"UA/19646/01/01","package/67940","2022-10-12","2025-10-12"
105702,"UA/19646/01/01","package/67939","2022-10-12","2025-10-12"
105689,"UA/11608/03/02","package/67928","2019-05-17","2119-05-17"
105688,"UA/11608/03/02","package/67927","2019-05-17","2119-05-17"
105687,"UA/11608/03/02","product/37320","2019-05-17","2119-05-17"
105686,"UA/11608/03/01","package/67926","2019-05-17","2119-05-17"
105685,"UA/11608/03/01","product/37319","2019-05-17","2119-05-17"
105676,"UA/14436/01/01","package/67920","2020-01-17","2120-01-17"
105658,"UA/19250/01/01","package/67910","2022-03-15","2027-03-15"
105653,"UA/18436/01/01","package/67907","2020-11-11","2025-11-11"
105648,"UA/16336/01/01","package/67904","2022-07-18","2122-07-18"
105645,"UA/13551/01/01","package/67902",null,"2118-10-04"
105642,"UA/15483/01/01","package/67900","2020-12-22","2120-12-22"
105635,"UA/8895/01/01","package/67896","2018-02-07","2118-02-07"
105630,"UA/9462/01/01","package/67893","2019-01-24","2119-01-24"
105620,"UA/15775/01/02","package/67886","2017-03-02","2026-03-02"
105618,"UA/15775/01/01","package/67885","2017-03-02","2026-03-02"
105617,"UA/6136/02/01","package/67884","2019-02-05","2119-02-05"
105616,"UA/6136/02/01","package/67883","2019-02-05","2119-02-05"
105615,"UA/6136/02/01","product/37292","2019-02-05","2119-02-05"
105611,"UA/14867/01/01","package/67880","2020-07-08","2120-07-08"
105610,"UA/15981/01/01","package/67879","2022-07-29","2122-07-29"
105599,"UA/15553/01/01","package/67872","2021-07-08","2121-07-08"
105568,"UA/18538/01/03","package/67852","2021-01-26","2026-01-26"
105567,"UA/18538/01/03","package/67851","2021-01-26","2026-01-26"
105566,"UA/18538/01/03","product/37275","2021-01-26","2026-01-26"
105565,"UA/8896/01/01","package/67850","2018-05-11","2118-05-11"
105559,"UA/14633/01/01","package/67846","2020-10-23","2025-10-23"
105558,"UA/14633/01/01","package/67845","2020-10-23","2025-10-23"
105557,"UA/14633/01/01","package/67844","2020-10-23","2025-10-23"
105556,"UA/14633/01/01","product/37272","2020-10-23","2025-10-23"
105548,"UA/2478/01/01","package/67839","2017-07-25","2117-07-25"
105547,"UA/2478/01/01","package/67838","2017-07-25","2117-07-25"
105514,"UA/14101/01/05","package/67817","2020-02-17","2120-02-17"
105512,"UA/10461/02/01","package/67815","2020-08-04","2120-08-04"
105511,"UA/10461/02/01","product/37256","2020-08-04","2120-08-04"
105507,"UA/14101/01/04","package/67812","2020-02-17","2120-02-17"
105505,"UA/19793/01/01","package/67810","2022-12-15","2027-12-15"
105499,"UA/14101/01/03","package/67806","2020-02-17","2120-02-17"
105495,"UA/18039/01/01","package/67803","2024-07-12","2124-07-12"
105494,"UA/19688/01/01","package/67802","2022-10-07","2027-10-07"
105493,"UA/19688/01/01","package/67801","2022-10-07","2027-10-07"
105492,"UA/19688/01/01","package/67800","2022-10-07","2027-10-07"
105491,"UA/19688/01/01","product/37251","2022-10-07","2027-10-07"
105485,"UA/14101/01/02","package/67796","2020-02-17","2120-02-17"
105480,"UA/18345/01/01","package/67792","2025-02-11","2125-02-11"
105473,"UA/18345/01/01","package/67787","2020-09-30","2025-09-30"
105472,"UA/19688/01/01","package/67786","2022-10-07","2027-10-07"
105471,"UA/19688/01/01","package/67785","2022-10-07","2027-10-07"
105470,"UA/19315/01/01","package/67784","2022-04-22","2027-04-22"
105465,"UA/13941/01/01","package/67781","2019-02-22","2119-02-22"
105460,"UA/9745/01/01","package/67777","2018-11-20","2118-11-20"
105449,"UA/11349/01/01","package/67769","2015-10-26","2115-10-26"
105445,"UA/13442/01/01","package/67767","2018-06-21","2118-06-21"
105392,"UA/16268/01/01","package/67721",null,"2122-03-15"
105383,"UA/16209/01/01","package/67716","2022-07-02","2027-07-02"
105382,"UA/16209/01/01","product/37226","2022-07-02","2027-07-02"
105373,"UA/0338/01/01","package/67711","2019-03-21","2119-03-21"
105370,"UA/17325/01/01","package/67709","2023-12-11","2123-12-11"
105361,"UA/4126/01/01","package/67704","2020-08-04","2120-08-04"
105358,"UA/12343/01/01","package/67702","2016-12-22","2116-12-22"
105355,"UA/7139/01/01","package/67700","2018-03-21","2118-03-21"
105354,"UA/7139/01/01","package/67699","2018-03-21","2118-03-21"
105353,"UA/7139/01/01","product/37214","2018-03-21","2118-03-21"
105352,"UA/2144/01/01","package/67698","2019-06-13","2119-06-13"
105343,"UA/18901/01/02","package/67692","2021-08-11","2026-08-11"
105342,"UA/18901/01/02","package/67691","2021-08-11","2026-08-11"
105341,"UA/18901/01/02","package/67690","2021-08-11","2026-08-11"
105340,"UA/18901/01/02","product/37210","2021-08-11","2026-08-11"
105336,"UA/2343/01/01","package/67688","2019-06-24","2119-06-24"
105333,"UA/16470/01/01","package/67686","2016-06-24","2116-06-24"
105332,"UA/18901/01/01","package/67685","2021-08-11","2026-08-11"
105331,"UA/18901/01/01","package/67684","2021-08-11","2026-08-11"
105330,"UA/18901/01/01","package/67683","2021-08-11","2026-08-11"
105329,"UA/18901/01/01","product/37206","2021-08-11","2026-08-11"
105328,"UA/9882/01/01","package/67682","2020-10-15","2120-10-15"
105315,"UA/13266/01/01","package/67673","2018-03-19","2118-03-19"
105310,"UA/9945/01/01","package/67670","2024-04-29","2124-04-29"
105309,"UA/4530/02/03","package/67669","2016-12-22","2116-12-22"
105303,"UA/4530/02/02","package/67664","2016-12-22","2116-12-22"
105299,"UA/9250/01/01","package/67661","2019-02-22","2119-02-22"
105298,"UA/9250/01/01","package/67660","2019-02-22","2119-02-22"
105297,"UA/9250/01/01","package/67659","2019-02-22","2119-02-22"
105293,"UA/4530/02/01","package/67656","2016-12-22","2116-12-22"
105287,"UA/3310/01/01","package/67651","2019-10-31","2119-10-31"
105285,"UA/9945/01/02","package/67649","2024-04-29","2124-04-29"
105217,"UA/8926/01/02","package/67602","2018-03-06","2118-03-06"
105216,"UA/8926/01/02","package/67601","2018-03-06","2118-03-06"
105215,"UA/8926/01/02","package/67600","2018-03-06","2118-03-06"
105214,"UA/8926/01/02","package/67599","2018-03-06","2118-03-06"
105213,"UA/8926/01/02","product/37174","2018-03-06","2118-03-06"
105201,"UA/12560/01/02","package/67590","2017-10-04","2117-10-04"
105200,"UA/8926/01/01","package/67589","2018-03-06","2118-03-06"
105199,"UA/8926/01/01","package/67588","2018-03-06","2118-03-06"
105198,"UA/8926/01/01","package/67587","2018-03-06","2118-03-06"
105197,"UA/8926/01/01","package/67586","2018-03-06","2118-03-06"
105196,"UA/8926/01/01","product/37170","2018-03-06","2118-03-06"
105195,"UA/5612/01/01","package/67585","2020-10-23","2120-10-23"
105189,"UA/12560/01/01","package/67581","2017-10-04","2117-10-04"
105186,"UA/7138/01/01","package/67579","2017-10-13","2117-10-13"
105167,"UA/20691/01/01","package/67565","2024-12-13","2029-12-13"
105166,"UA/20691/01/01","package/67564","2024-12-13","2029-12-13"
105165,"UA/20691/01/01","product/37161","2024-12-13","2029-12-13"
105157,"UA/7110/01/01","package/67558","2017-10-13","2117-10-13"
105156,"UA/7110/01/01","package/67557","2017-10-13","2117-10-13"
105155,"UA/5666/01/01","package/67556","2017-08-09","2117-08-09"
105147,"UA/14073/01/01","package/67549","2019-11-21","2119-11-21"
105146,"UA/17281/01/01","package/67548","2023-12-11","2123-12-11"
105145,"UA/17281/01/01","product/37157","2023-12-11","2123-12-11"
105142,"UA/1969/02/01","package/67546","2019-05-30","2119-05-30"
105141,"UA/1969/02/01","package/67545","2019-05-30","2119-05-30"
105140,"UA/1969/02/01","product/37155","2019-05-30","2119-05-30"
105125,"UA/5335/01/01","package/67534","2016-09-21","2116-09-21"
105118,"UA/6822/01/01","package/67529","2017-06-09","2117-06-09"
105113,"UA/12853/01/01","package/67525","2018-04-04","2118-04-04"
105104,"UA/4727/01/01","package/67519","2016-05-18","2116-05-18"
105090,"UA/3389/01/01","package/67509","2019-08-30","2119-08-30"
105088,"UA/16861/01/01","package/67507","2023-01-14","2123-01-14"
105081,"UA/11128/01/01","package/67504","2020-03-25","2120-03-25"
105077,"UA/15700/01/01","package/67502","2021-03-23","2121-03-23"
105072,"UA/8199/01/01","package/67499","2018-10-22","2118-10-22"
105071,"UA/8199/01/01","package/67498","2018-10-22","2118-10-22"
105070,"UA/8199/01/01","product/37134","2018-10-22","2118-10-22"
105068,"UA/17873/01/01","package/67496","2024-07-09","2124-07-09"
105063,"UA/8199/01/02","package/67492","2018-10-22","2118-10-22"
105062,"UA/8199/01/02","product/37132","2018-10-22","2118-10-22"
105061,"UA/20499/01/01","package/67491","2024-07-08","2029-07-08"
105060,"UA/20499/01/01","package/67490","2024-07-08","2029-07-08"
105059,"UA/20499/01/01","package/67489","2024-07-08","2029-07-08"
105050,"UA/19080/01/01","package/67481","2021-12-02","2026-12-02"
105049,"UA/19080/01/01","package/67480","2021-12-02","2026-12-02"
105048,"UA/19080/01/01","package/67479","2021-12-02","2026-12-02"
105047,"UA/19080/01/01","package/67478","2021-12-02","2026-12-02"
105046,"UA/19080/01/01","package/67477","2021-12-02","2026-12-02"
105033,"UA/11067/01/01","package/67465","2020-04-23","2120-04-23"
105021,"UA/1364/01/01","package/67457","2019-11-21","2119-11-21"
105020,"UA/1364/01/01","product/37125","2019-11-21","2119-11-21"
105019,"UA/18375/01/01","package/67456","2025-07-18","2125-07-18"
105018,"UA/18375/01/01","package/67455","2025-07-18","2125-07-18"
105017,"UA/18375/01/01","package/67454","2025-07-18","2125-07-18"
105016,"UA/18375/01/01","package/67453","2025-07-18","2125-07-18"
105015,"UA/18375/01/01","package/67452","2025-07-18","2125-07-18"
105014,"UA/18375/01/01","package/67451","2025-07-18","2125-07-18"
105013,"UA/18375/01/01","product/37124","2025-07-18","2125-07-18"
105012,"UA/18375/01/02","package/67450","2025-07-18","2125-07-18"
105011,"UA/18375/01/02","package/67449","2025-07-18","2125-07-18"
105010,"UA/18375/01/02","package/67448","2025-07-18","2125-07-18"
105009,"UA/18375/01/02","package/67447","2025-07-18","2125-07-18"
105008,"UA/18375/01/02","package/67446","2025-07-18","2125-07-18"
105007,"UA/18375/01/02","package/67445","2025-07-18","2125-07-18"
105006,"UA/18375/01/02","product/37123","2025-07-18","2125-07-18"
105005,"UA/18325/01/01","package/67444","2025-07-18","2125-07-18"
105004,"UA/18325/01/01","product/37122","2025-07-18","2125-07-18"
104994,"UA/2922/01/01","package/67438","2020-04-23","2120-04-23"
104993,"UA/2922/01/01","product/37117","2020-04-23","2120-04-23"
104990,"UA/5650/01/02","package/67436","2016-11-10","2116-11-10"
104989,"UA/5650/01/02","package/67435","2016-11-10","2116-11-10"
104982,"UA/5650/01/02","package/67429","2016-11-10","2116-11-10"
104981,"UA/5650/01/02","package/67428","2016-11-10","2116-11-10"
104980,"UA/5650/01/02","package/67427","2016-11-10","2116-11-10"
104979,"UA/5650/01/02","product/37114","2016-11-10","2116-11-10"
104970,"UA/20326/01/01","package/67420","2024-01-15","2029-01-15"
104969,"UA/20326/01/01","product/37111","2024-01-15","2029-01-15"
104954,"UA/20773/01/01","package/67412","2025-02-11","2030-02-11"
104953,"UA/20773/01/01","product/37103","2025-02-11","2030-02-11"
104952,"UA/17029/01/01","package/67411","2025-07-18","2125-07-18"
104951,"UA/17029/01/01","package/67410","2025-07-18","2125-07-18"
104950,"UA/17029/01/01","product/37102","2025-07-18","2125-07-18"
104943,"UA/17235/01/01","package/67406","2023-11-17","2123-11-17"
104942,"UA/17235/01/01","product/37098","2023-11-17","2123-11-17"
104939,"UA/7955/02/01","package/67404","2017-09-28","2117-09-28"
104938,"UA/7955/02/01","package/67403","2017-09-28","2117-09-28"
104937,"UA/7955/02/01","package/67402","2017-09-28","2117-09-28"
104936,"UA/7955/02/01","package/67401","2017-09-28","2117-09-28"
104935,"UA/7955/02/01","product/37096","2017-09-28","2117-09-28"
104930,"UA/19128/01/01","package/67398","2022-01-11","2027-01-11"
104929,"UA/19128/01/01","product/37093","2022-01-11","2027-01-11"
104917,"UA/16366/01/01","package/67389","2022-06-20","2122-06-20"
104916,"UA/16366/01/01","package/67388","2022-06-20","2122-06-20"
104915,"UA/16366/01/01","package/67387","2022-06-20","2122-06-20"
104914,"UA/16366/01/01","package/67386","2022-06-20","2122-06-20"
104913,"UA/16366/01/01","package/67385","2022-06-20","2122-06-20"
104912,"UA/16366/01/01","package/67384","2022-06-20","2122-06-20"
104911,"UA/16366/01/01","product/37089","2022-06-20","2122-06-20"
104893,"UA/18211/01/01","package/67368","2025-07-18","2125-07-18"
104892,"UA/18211/01/01","package/67367","2025-07-18","2125-07-18"
104891,"UA/18211/01/01","package/67366","2025-07-18","2125-07-18"
104890,"UA/18211/01/01","package/67365","2025-07-18","2125-07-18"
104889,"UA/18211/01/01","product/37086","2025-07-18","2125-07-18"
104885,"UA/19184/01/01","package/67363","2022-01-26","2026-01-26"
104884,"UA/19184/01/01","product/37083","2022-01-26","2026-01-26"
104883,"UA/18002/01/01","package/67362","2025-07-18","2125-07-18"
104882,"UA/18002/01/01","product/37082","2025-07-18","2125-07-18"
104878,"UA/17441/01/02","package/67360","2024-04-05","2124-04-05"
104877,"UA/17441/01/02","product/37079","2024-04-05","2124-04-05"
104876,"UA/18567/01/01","package/67359","2025-07-18","2125-07-18"
104875,"UA/18567/01/01","product/37078","2025-07-18","2125-07-18"
104871,"UA/17441/01/01","package/67357","2024-04-05","2124-04-05"
104870,"UA/17441/01/01","product/37075","2024-04-05","2124-04-05"
104869,"UA/17578/01/01","package/67356","2025-07-18","2125-07-18"
104868,"UA/17578/01/01","package/67355","2025-07-18","2125-07-18"
104867,"UA/17578/01/01","package/67354","2025-07-18","2125-07-18"
104866,"UA/17578/01/01","product/37074","2025-07-18","2125-07-18"
104858,"UA/17578/01/02","package/67348","2025-07-18","2125-07-18"
104857,"UA/17578/01/02","package/67347","2025-07-18","2125-07-18"
104856,"UA/17578/01/02","package/67346","2025-07-18","2125-07-18"
104855,"UA/17578/01/02","product/37071","2025-07-18","2125-07-18"
104850,"UA/14341/01/01","package/67343","2020-04-09","2120-04-09"
104849,"UA/14341/01/01","product/37068","2020-04-09","2120-04-09"
104842,"UA/14341/01/02","package/67339","2020-04-09","2120-04-09"
104841,"UA/14341/01/02","product/37064","2020-04-09","2120-04-09"
104838,"UA/17689/01/01","package/67337","2024-01-29","2124-01-29"
104831,"UA/18435/01/01","package/67332","2025-07-18","2125-07-18"
104830,"UA/18435/01/01","package/67331","2025-07-18","2125-07-18"
104829,"UA/18435/01/01","package/67330","2025-07-18","2125-07-18"
104828,"UA/18435/01/01","product/37060","2025-07-18","2125-07-18"
104827,"UA/14464/01/01","package/67329","2019-10-31","2119-10-31"
104826,"UA/18435/01/02","package/67328","2025-07-18","2125-07-18"
104825,"UA/18435/01/02","package/67327","2025-07-18","2125-07-18"
104824,"UA/18435/01/02","product/37059","2025-07-18","2125-07-18"
104821,"UA/17965/01/01","package/67325","2020-04-23","2026-04-23"
104820,"UA/17965/01/01","product/37057","2025-07-18","2125-07-18"
104815,"UA/16594/01/01","package/67322","2023-01-12","2123-01-12"
104814,"UA/16594/01/01","product/37054","2023-01-12","2123-01-12"
104809,"UA/18343/01/01","package/67318","2025-07-18","2125-07-18"
104808,"UA/18343/01/01","product/37052","2025-07-18","2125-07-18"
104804,"UA/12149/01/01","package/67315","2017-05-13","2117-05-13"
104803,"UA/12149/01/01","package/67314","2017-05-13","2117-05-13"
104802,"UA/12149/01/01","product/37050","2017-05-13","2117-05-13"
104801,"UA/18283/01/01","package/67313","2025-07-18","2125-07-18"
104800,"UA/18283/01/01","package/67312","2025-07-18","2125-07-18"
104799,"UA/18283/01/01","package/67311","2025-07-18","2125-07-18"
104798,"UA/18283/01/01","product/37049","2025-07-18","2125-07-18"
104792,"UA/16841/01/01","package/67307","2023-02-10","2028-02-10"
104791,"UA/16841/01/01","product/37046","2023-02-10","2028-02-10"
104785,"UA/18865/01/01","package/67303","2021-07-30","2026-07-30"
104784,"UA/18865/01/01","product/37043","2021-07-30","2026-07-30"
104781,"UA/18281/01/01","package/67301","2025-07-18","2125-07-18"
104780,"UA/18281/01/01","product/37041","2025-07-18","2125-07-18"
104779,"UA/6367/01/02","package/67300","2017-04-28","2117-04-28"
104778,"UA/6367/01/02","product/37040","2017-04-28","2117-04-28"
104767,"UA/18655/01/01","package/67293","2025-07-18","2125-07-18"
104766,"UA/18655/01/01","product/37035","2025-07-18","2125-07-18"
104759,"UA/15530/01/01","package/67288","2021-10-28","2121-10-28"
104758,"UA/15530/01/01","package/67287","2021-10-28","2121-10-28"
104757,"UA/15530/01/01","product/37032","2021-10-28","2121-10-28"
104753,"UA/18381/01/01","package/67284","2025-07-18","2125-07-18"
104752,"UA/18381/01/01","package/67283","2025-07-18","2125-07-18"
104751,"UA/18381/01/01","product/37030","2025-07-18","2125-07-18"
104747,"UA/1718/01/01","package/67280","2019-04-26","2119-04-26"
104746,"UA/1718/01/01","product/37028","2019-04-26","2119-04-26"
104737,"UA/18814/01/01","package/67273","2021-07-02","2026-07-02"
104736,"UA/18814/01/01","package/67272","2021-07-02","2026-07-02"
104735,"UA/18814/01/01","product/37025","2021-07-02","2026-07-02"
104732,"UA/10461/01/01","package/67269","2020-02-25","2120-02-25"
104731,"UA/10461/01/01","package/67268","2020-02-25","2120-02-25"
104730,"UA/10461/01/01","package/67267","2020-02-25","2120-02-25"
104729,"UA/10461/01/01","package/67266","2020-02-25","2120-02-25"
104728,"UA/10461/01/01","product/37024","2020-02-25","2120-02-25"
104692,"UA/13628/01/01","package/67238","2019-03-21","2119-03-21"
104691,"UA/13628/01/01","package/67237","2019-03-21","2119-03-21"
104690,"UA/13628/01/01","product/37015","2019-03-21","2119-03-21"
104681,"UA/10141/01/01","package/67231","2020-03-06","2120-03-06"
104680,"UA/10141/01/01","package/67230","2020-03-06","2120-03-06"
104679,"UA/10141/01/01","product/37011","2020-03-06","2120-03-06"
104678,"UA/18282/01/01","package/67229","2025-07-18","2125-07-18"
104677,"UA/18282/01/01","package/67228","2025-07-18","2125-07-18"
104676,"UA/18282/01/01","product/37010","2025-07-18","2125-07-18"
104672,"UA/18245/01/01","package/67225","2025-07-18","2125-07-18"
